,Topic,Count,Name,Representation,Representative_Docs
25,24,8008,24_schools_education_school_teachers,"['schools', 'education', 'school', 'teachers', 'students', 'college', 'student', 'public', 'university', 'kids']","['public education good one', ""i grew up in an area where the public schools were better than the private schools next to it public school education isn't any less important today if the quality of our public education falls so does the quality of our entire education system we're already in the world how much further down do we need to go"", ""juan more facts more money and more washington isn't the issue that's all dems and a lot of repubs want to do throw more money down the drain give education back to the states and education will once again prosper education issues june better schools fewer dollars to attain the economic growth that it desperately needs the united states must improve its schools and train a workforce capable of competing in the global economy to this end superior educational outcomes are a necessity the question facing lawmakers then is how to improve america's education system when most state governments are strapped for cash says marcus a winters a senior fellow at the manhattan institute economists tell us that the answer is not to throw more money at schools while a common complaint is that public schools are underfunded research indicates that more per pupil funding does little to improve outcomes according to the department of education public schools spent on average per pupil in the most recent year for which data are available adjusting for inflation this figure is more than double the per student that public schools spent in despite that doubling of funds just about every measure of educational outcomes has remained stagnant since scores on the national assessment of educational progress the only consistently observed measure over the period have remained relatively flat since the mid s high school graduation rates haven't budged much over the last years either the conclusion to be drawn from this historical data is that schools do not need more funding but need to learn to be more efficient with the funding they already have this entails freeing schools from oppressive regulatory environments and or transitioning more students to charter schools and voucher programs schools themselves have little discretion over how to use their financial resources confined instead to top down mandates for spending crucially individual schools have little flexibility in teacher pay which constitutes percent of expenditures on average schools are limited to considering factors such as years of experience and number of advanced degrees that are only marginally good predictors of teacher quality in most districts public schools aren't even allowed to decide which teachers to employ since tenure ensures that principals can't remove the least effective teachers voucher programs to help students attend private schools and government run charter schools avoid many of these pitfalls furthermore near uniform research has found that students participating in these programs achieve the much sought after educational gains source marcus a winters better schools fewer dollars city journal spring""]"
26,25,7540,25_israel_palestinians_israeli_jews,"['israel', 'palestinians', 'israeli', 'jews', 'palestinian', 'palestine', 'jewish', 'hamas', 'zionist', 'israelis']","['israel fails to do that now as you well know access to non jews is quite limited by israel recognize east jerusalem as the capital of the palestinians and west for israel after all the palestinians can do no worse than the israelis', 'it was all for israel lol', 'like israel']"
27,26,7312,26_police_cops_cop_crime,"['police', 'cops', 'cop', 'crime', 'prison', 'officers', 'officer', 'arrest', 'criminals', 'crimes']","['biden s record more police officers died in under biden s watch than any year since the number of policemen and women killed in exceeded the number of police deaths for every year since biden and the democrats efforts to defund the police and label the police perpetrators have now led to widespread murders of police across the country more cops were killed in the line of duty during president biden s first year of office than any other year since and a law enforcement group says the driving force is the growing anti cop sentiment according to a new report seventy three officers were intentionally killed in the line of duty in a nearly percent increase over when cops were murdered fox news reported sunday citing the fbi s database on officers killed in action fjb', ""good for the hill for publishing this contributing article republican leaning media would serve the country well unlike fox to advocate for doing the right thing this cop should be fired for starters as should all cops who bully are vengeful and clearly aren't suited to police americans we need to get them all fired one bad cop at a time as we remember that good cops who look the other way can't be good cops anymore this is why we all we all citizens should support taking the cultural pressure off the good cops by insisting on body cams and having independent review boards focus on complaints using that evidence with the specific objective of clearing our discredited police departments out of these jackasses common sense and history has shown that people of every stripe cannot investigate themselves we must demand our legislatures give us institutional independent prosecutions because prosecutors too are in a horrible political position to look the other way as well so not to alienate vengeful cops they must have to win prosecutions if prosecutors become corrupt against citizens then they are guilty of rico racketeering and i'm sure most lawyers don't want to start their careers that way the good cops will appreciate the help i'm confident of it and there are lots of cops who want to do things honorably and serve themselves and their familes well lets help them rid the us versus citizens' culture of policing and cops who have been at it too long and have corrupted themselves with bad attitudes its an understandable reality it's too bad cops get ruined dealing with the dregs of our society just like teachers get ruined by dealing with those younger dregs who don't want to learn the dregs are all the very same badly raised people we haven't taught them well and america needs to fix that too shall we start by not rewarding welfare moms oh heads exploding everywhere we all should be unified in advocating for clean departments and harshly punish the bullies that are attracted to policing americans with prison time they wont wait they'll quit because bullies are cowards and that's what we really want them to do quit or be fired their choice simply watch a few episodes of cops to see those bad actors work too hard to inflict pain street justice and lie to incarcerate people just because they have the power to intimidate those less smart that culture forgets what it's like not to be a cop exclusive there's a difference between the police catch all charge of resisting arrest and the citizen oriented desire to resist further pain when cops scream get on the ground get on the ground thats' the culture we as americans dont' accept and guess what police behavior isn't up to them it's up to us for they serve us at our pleasure not theirs if they dont' like it don't become a cop we require you to have more patience and less military demeanor with us cops is a manual for how to talk dumber people into giving up their constitutional rights and do you ever see cops read people their rights and admonish them to stfu before they talk themselves into getting a lifelong career ending felony those very cops are preditors and we need them banned from public service maybe we need to post their pictures and their mothers pictures too for badly raising them let us mourn the death of andy griffith star of mayberry usa who taught us about community policing before it became a word maybe except for the southern bigots most cops were officer friendly now a strange police force we dont know them they need their father's name stinciled in large font on their uniforms so they will think twice before dishonoring their family name people do bad things when they get to be anonymous and left to their bad tendencies so lets ferret them out and bring respect for police back sadly the police unions arne't helping because they protect the bad ones maybe they are part of the same problem discuss btw i just hate it when i spend time writing an essay i'd be proud of and some websites then don't take my disqis account for some deliberate or dumb glitch without explanation disqus needs to fix this"", 'what does any of this have to do with cops']"
28,27,7033,27_socialism_socialist_communist_communism,"['socialism', 'socialist', 'communist', 'communism', 'commie', 'marxist', 'socialists', 'communists', 'marxism', 'commies']","['or they could re think socialism', 'socialism under any other name is still socialism', 'socialist communist']"
29,28,6957,28_iran_iranian_nuclear_iranians,"['iran', 'iranian', 'nuclear', 'iranians', 'deal', 'irans', 'sanctions', 'agreement', 'nukes', 'bomb']","['are you talking about iran', ""it was iran's money"", 'iran has them']"
30,29,6861,29_voter_ballots_fraud_mail,"['voter', 'ballots', 'fraud', 'mail', 'voting', 'ballot', 'election', 'vote', 'georgia', 'votes']","['everyone knows there is voter fraud in this country only a fool or someone who benefits from voter fraud would be against an investigation into our election policies', 'i wonder how the states that have been voting by mail for years count the ballots', 'maybe there will not be voter fraud this time']"
31,30,6597,30_christmas_nfl_football_olympics,"['christmas', 'nfl', 'football', 'olympics', 'sports', 'merry', 'santa', 'nba', 'players', 'dog']","['merry christmas', 'merry christmas', 'merry christmas']"
32,31,6526,31_pope_church_catholic_religion,"['pope', 'church', 'catholic', 'religion', 'christian', 'christians', 'marriage', 'jesus', 'religious', 'god']","['this pope is using pseudo social causes climate change economics etc to hide the churches positions on gays same sex marriage abortion and especially the centuries of pedophilia practiced by priests in the church shame on this pope', 'the pope does not like trump', 'this pope is pure evil and the catholic church has seen it before']"
33,32,6433,32_korea_kim_north_nk,"['korea', 'kim', 'north', 'nk', 'korean', 'nuclear', 'jong', 'south', 'nukes', 'koreans']","['right and we had a deal with north korea and china too', ""tell that to north korea's kim"", 'go move to north korea']"
34,33,6012,33_tsa_airlines_plane_flight,"['tsa', 'airlines', 'plane', 'flight', 'airline', 'aircraft', 'planes', 'fly', 'airport', 'pilots']","[""i'm not a republican also a republican started the tsa"", 'more like years for the airlines', ""if the airlines gave a damn about passengers they would concentrate on smaller planes and flights more often instead of huge planes to make huge profits while common folk sit for days waiting for connecting flights any rational system would have hourly flights in the direction any and all passengers are going airlines won't listen of course which is why people will gladly buy the next phase of tech in transportation personal flight which will follow electric self driving cars so the airlines have maybe ten years until i can hop into my own flitter and travel at mph and beat the airliners to destinations because my wait times will be zero and my flitter not that many airline tickets to pay for the only thing i will miss is the stewardesses and aircrews who are damm good at what they do i have loved flying my whole life and first crossed the atlantic on twa in a plane with propellers""]"
35,34,5984,34_wall_mexico_sanctuary_border,"['wall', 'mexico', 'sanctuary', 'border', 'build', 'fence', 'walls', 'pay', 'built', 'cities']","['what about that wall', 'no wall is the other one', 'there will be no wall']"
36,35,5833,35_dnc_guilty_treason_innocent,"['dnc', 'guilty', 'treason', 'innocent', 'court', 'rnc', 'stein', 'indicted', 'trial', 'indictments']","['f no trump is guilty of high treason', 'run dnc get the f out of here', 'the dnc']"
37,36,4970,36_nazi_nazis_hitler_vietnam,"['nazi', 'nazis', 'hitler', 'vietnam', 'stalin', 'mussolini', 'adolf', 'reich', 'neo', 'hitlers']","[""and you're a nazi next"", 'nazi much', ""i'm still here nazi""]"
38,37,4334,37_mueller_muellers_snowden_rosenstein,"['mueller', 'muellers', 'snowden', 'rosenstein', 'investigation', 'report', 'counsel', 'robert', 'obstruction', 'fbi']","['mueller will get them', 'mueller mueller mueller mueller mueller mueller mueller mueller mueller mueller mueller mueller mueller mueller mueller mueller mueller mueller mueller mueller mueller', 'mueller mueller mueller']"
39,38,4254,38_joe_joes_sleepy_uncle,"['joe', 'joes', 'sleepy', 'uncle', 'creepy', 'joementia', 'joetard', 'slow', 'pedo', 'senile']","['is that you joe', ""where's joe"", 'joe has']"
40,39,3995,39_libs_lib_alt_wing,"['libs', 'lib', 'alt', 'wing', 'lefties', 'left', 'right', 'correctness', 'liberal', 'lefty']","['own the libs f the country', 'the libs', 'which libs']"
41,40,3987,40_science_scientific_scientists_scientist,"['science', 'scientific', 'scientists', 'scientist', 'earth', 'flat', 'physics', 'consensus', 'denier', 'research']","['you mean science', 'sure does science', 'its science']"
42,41,3906,41_taliban_afghanistan_afghan_afghans,"['taliban', 'afghanistan', 'afghan', 'afghans', 'troops', 'kabul', 'withdrawal', 'biden', 'war', 'military']","['the american taliban', 'that s what taliban does', ""taliban is going to take over so be it we 're out""]"
43,42,3897,42_romney_mitt_romneys_bain,"['romney', 'mitt', 'romneys', 'bain', 'obama', 'ryan', 'returns', 'tax', 'jobs', 'taxes']","['biden romney', ""that's why most people in romney's are republican"", 'and yet not as much as romney']"
44,43,3742,43_pelosi_nancy_pelosis_speaker,"['pelosi', 'nancy', 'pelosis', 'speaker', 'schumer', 'house', 'harris', 'democrats', 'schultz', 'reid']","['pelosi is going to be our next president', ""he's no pelosi"", 'pelosi has nothing to do with this']"
45,44,3581,44_polls_poll_polling_pollsters,"['polls', 'poll', 'polling', 'pollsters', 'polled', 'results', 'numbers', 'accurate', 'voters', 'survey']","['not in the polls', 'see you at the polls', 'poll american people hate polls']"
46,45,3497,45_donnie_donnies_il_fat,"['donnie', 'donnies', 'il', 'fat', 'beta', 'dementia', 'diaper', 'tick', 'boy', 'hes']","['like donnie', 'donnie is that you', 'donnie is at']"
47,46,3465,46_impeachment_impeached_impeach_furious,"['impeachment', 'impeached', 'impeach', 'furious', 'impeachable', 'senate', 'fast', 'trial', 'nixon', 'house']","['what would he be impeached for what would the articles of impeachment say', 'and re impeachment', 'impeachment should be a good one']"
48,47,3440,47_beer_drink_crack_drinking,"['beer', 'drink', 'crack', 'drinking', 'drunk', 'pipe', 'coke', 'sober', 'dna', 'gaslighting']","['even beer', 'for beer', 'no more like have a drink']"
49,48,3373,48_hill_hills_pcb_article,"['hill', 'hills', 'pcb', 'article', 'mod', 'news', 'story', 'articles', 'headline', 'match']","['but why not the hill', ""it's the hill"", 'the hill is full of']"
50,49,3262,49_cruz_ted_cruzs_texas,"['cruz', 'ted', 'cruzs', 'texas', 'rubio', 'rafael', 'carson', 'trump', 'senator', 'wife']","['trump cruz', 'in cruz trump', 'so is cruz']"
51,50,3120,50_golf_golfing_play_course,"['golf', 'golfing', 'play', 'course', 'playing', 'cart', 'courses', 'golfer', 'weekend', 'busy']","['trump golf obama debt', ""and golf don't forget golf he loves himself some golf"", 'do they have golf there']"
52,51,3108,51_mask_masks_wear_wearing,"['mask', 'masks', 'wear', 'wearing', 'virus', 'fauci', 'distancing', 'cloth', 'face', 'mandates']","['why when you can just wear a mask', 'do you wear a mask', 'did you not wear a mask did you wear masks the whole time']"
53,52,3086,52_jesus_god_bible_christian,"['jesus', 'god', 'bible', 'christian', 'satan', 'christ', 'sin', 'gods', 'testament', 'shall']","['jesus had something to say about people like you', 'except jesus', ""christianity the belief that god sacrificed god to god to save god's creation from god jesus would never be a christian not in a million years im am an atheist and i feel like i need to save jesus from the christians""]"
54,53,2781,53_nuclear_nukes_sanctions_nuke,"['nuclear', 'nukes', 'sanctions', 'nuke', 'missiles', 'weapons', 'missile', 'myanmar', 'war', 'codes']","['then move the nuclear weapons out first', 'nuclear is the way to go', 'they have nuclear weapons']"
55,54,2744,54_unions_union_workers_dues,"['unions', 'union', 'workers', 'dues', 'labor', 'members', 'loan', 'employees', 'sector', 'public']","['unions lol', 'what does that have to do with unions', 'so unions have been good to you too']"
56,55,2678,55_barry_barrys_reggie_gay,"['barry', 'barrys', 'reggie', 'gay', 'boy', 'friend', 'soetoro', 'bathhouse', 'terrorist', 'iran']","['who is barry', 'who is barry', 'how is this on barry']"
57,56,2595,56_mccain_john_mccains_hero,"['mccain', 'john', 'mccains', 'hero', 'graham', 'senator', 'pow', 'war', 'arizona', 'songbird']","['mccain is all about mccain always has been always will be', 'your last name is mccain', 'either can mccain']"
58,57,2464,57_judges_court_supreme_coup,"['judges', 'court', 'supreme', 'coup', 'justices', 'judge', 'courts', 'circuit', 'appointed', 'mcauliffe']","['sure there is the judges', 'uh supreme court justices do not hand out sentences district court judges do that', 'you think federal court judges are elected']"
59,58,2378,58_pence_mike_pences_vp,"['pence', 'mike', 'pences', 'vp', 'indiana', 'hang', 'trump', 'vice', 'president', 'mother']","['who is pence', 'pence too', 'and pence']"
60,59,2325,59_fascist_fascism_fascists_wing,"['fascist', 'fascism', 'fascists', 'wing', 'right', 'nazis', 'power', 'regimes', 'left', 'authoritarian']","['how is he a fascist', 'they were are fascist', 'how fascist']"
61,60,2322,60_jews_jewish_jew_semitic,"['jews', 'jewish', 'jew', 'semitic', 'anti', 'israel', 'replace', 'hate', 'hating', 'judaism']","['jews for president trump', 'so just what have the jews done to you', 'you have something against jews']"
62,61,2283,61_tea_party_teabaggers_teabagger,"['tea', 'party', 'teabaggers', 'teabagger', 'baggers', 'blah', 'partiers', 'gop', 'movement', 'blahblah']","['last election tea party lost', 'see you in tea', 'the tea better be good']"
63,62,2174,62_cuba_cuban_castro_cubans,"['cuba', 'cuban', 'castro', 'cubans', 'fidel', 'castros', 'embargo', 'havana', 'communist', 'regime']","['in cuba', 'you should move to cuba', 'move to cuba']"
64,63,2167,63_slavery_slaves_law_aclu,"['slavery', 'slaves', 'law', 'aclu', 'slave', 'laws', 'rights', 'legal', 'states', 'rule']","['slavery what slavery never happened', ""so we should go back to the 's like when we had slavery too"", 'what now you are for slavery']"
65,64,2131,64_russian_troll_trolls_bot,"['russian', 'troll', 'trolls', 'bot', 'putin', 'bots', 'comments', 'russia', 'paid', 'comrade']","['another russian troll', 'he is a russian troll', ""he's a russian troll""]"
66,65,1956,65_turkey_kurds_erdogan_turkish,"['turkey', 'kurds', 'erdogan', 'turkish', 'turks', 'turkeys', 'nato', 'kurdish', 'syria', 'isis']","['i find it funny to see that turkey is far more worried about the kurds pkk than isis is turkey really our ally', 'time for a new war in turkey', 'from one turkey to another']"
67,66,1936,66_rand_paul_ron_pauls,"['rand', 'paul', 'ron', 'pauls', 'ayn', 'rands', 'libertarian', 'hes', 'gop', 'senator']","['rand paul', 'rand paul', 'rand paul']"
68,67,1936,67_google_meds_crickets_birther,"['google', 'meds', 'crickets', 'birther', 'birthers', 'googles', 'search', 'sperm', 'medication', 'babies']","['and your meds', 'you must be off your meds', 'go back on your meds']"
69,68,1923,68_palin_kamala_sarah_harris,"['palin', 'kamala', 'sarah', 'harris', 'kaine', 'alaska', 'nda', 'palins', 'ndas', 'governor']","['palin can you vote for her', 'for palin enough said', 'no palin']"
