belief_x,belief_y,influence
Against religious biases,Support for EU,0.0
Against religious biases,Against nationalism,0.0
Against religious biases,For economic equality,0.0
Against religious biases,Support wealth distribution,0.0
Against religious biases,Support social welfare,0.0
Against religious biases,Support personal potential,0.0
Against religious biases,Investment in science and education,0.0
Against religious biases,Support consumer protection,0.0
Against religious biases,Support separation of church and state,0.5
Against religious biases,Support fact-based discourse,0.5
Against religious biases,Support gender equality,0.0
Against religious biases,Support anti-racism,0.0
Support fact-based discourse,Support for EU,0.5
Support fact-based discourse,Against nationalism,0.0
Support fact-based discourse,For economic equality,0.0
Support fact-based discourse,Support wealth distribution,0.3
Support fact-based discourse,Support social welfare,0.2
Support fact-based discourse,Support personal potential,0.5
Support fact-based discourse,Investment in science and education,0.2
Support fact-based discourse,Support consumer protection,0.5
Support fact-based discourse,Support separation of church and state,0.5
Support fact-based discourse,Against religious biases,0.5
Support fact-based discourse,Support gender equality,0.0
Support fact-based discourse,Support anti-racism,0.5
Support gender equality,Support for EU,0.2
Support gender equality,Against nationalism,0.0
Support gender equality,For economic equality,0.5
Support gender equality,Support wealth distribution,0.2
Support gender equality,Support social welfare,0.5
Support gender equality,Support personal potential,0.5
Support gender equality,Investment in science and education,0.0
Support gender equality,Support consumer protection,0.5
Support gender equality,Support separation of church and state,0.0
Support gender equality,Against religious biases,0.5
Support gender equality,Support fact-based discourse,0.2
Support gender equality,Support anti-racism,0.5
Support anti-racism,Support for EU,0.5
Support anti-racism,Against nationalism,0.0
Support anti-racism,For economic equality,0.0
Support anti-racism,Support wealth distribution,0.0
Support anti-racism,Support social welfare,0.2
Support anti-racism,Support personal potential,0.5
Support anti-racism,Investment in science and education,0.0
Support anti-racism,Support consumer protection,0.3
Support anti-racism,Support separation of church and state,0.3
Support anti-racism,Against religious biases,0.5
Support anti-racism,Support fact-based discourse,0.5
Support anti-racism,Support gender equality,0.5
